filename,transcription
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_001.wav,ma paulus meloeban na mebo apostel kristus yesus a nyian zamba ai madzan sostene
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_002.wav,abe ndazamba ya ene a korinti a bene mfuban abe kristus beloeban na bebo mimfufub abaman ai e bod bese baloe dzoe nti waan yesus kristus hom ose ya ane nti waban atoa fe engoan
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_003.wav,maa aboog ai mina ai mvoe ya biaso abe zamba esya waan ai esya nti yesus kristus
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_004.wav,mave zamba wama ngan a bog ase asu daan asu e maa zamba bengave mina abe yesus kristus
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_005.wav,amu abe nye ngo miabi kan akuma ese a nkobo ose ai a nyeman ose
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_006.wav,amu mboolan kristus ongayem abe mina
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_007.wav,akyae ye na e mina ya miayanga na nti waan yesus kristus ayi kulan to efae akab zin yadzeman ki fe mina
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_008.wav,nnye hm ayi mina wone abui a memana mintoa tege ai akalega a amos nti waan yesus kristus
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_009.wav,zamba ane mod afidi nnye angaloe mina na mizu baman enyin ai mon woe yesus kristus nti waan
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_010.wav,ndo hm makogelan ai mina a dzoe nti waan yesus kristus a babedzan na mina bese mibo kin dzidzia tege ai ngam ngam abe mina na milad nnem mbog mbog
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_011.wav,a babedzan bod ya ndabod kloe bengamana ma kad na mibele bitom a mina mina we
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_012.wav,makobo adzo di amu mod ose ya abe mina adzo na ma mene a ngam paulus ma e nyi apollos ma e nyi kefas ma e nyi kristus
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_015.wav,na mod aza ke dzo hala na mingaduuban a dzoe dama
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_013.wav,ye kristus ane nkaban ngam ngam nga ye paulus nye fe angawu asu dan ye a dzoe paulus ki ngo mingaduuban nga
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_014.wav,makan zamba na mandzeki du to mbog ya abe mina sesala he krispus ban gaius
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_016.wav,mengadu fe ndabod stefanas mayem ki na mengadu mod mfe alodo nala
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_017.wav,amu kristus andzeki ma lom na medu angalom ma na meyedan mbembe foe se hm ki ai feg nkobo na klos kristus eza bo a zeze
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_018.wav,amu ane hm na asu bod ya ndzan ebug klos ene nkobo akud etoa hm ngul zamba asu bia ya bine nkodan
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_019.wav,amu ane ntilan na mayi dzee feg mimfefeg mesole aken minkeken
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_020.wav,mfefeg one hm ve nsana bekalara ane ve mod mimfed ya e ndon nyi ane ve zamba andze ya venan feg ya e si nyi akud a
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_021.wav,amu mbol ya sindon ai feg dzaban bandzeki yem zamba a feg dzie ndo zamba angayen do mben na akode e bod bayebe ai akud foe bayedan di
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_022.wav,mbol yuden basili mesimba grek bedzene feg
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_023.wav,bia ha biyedegan kristus ya angabomban a klos nala ontoa dzanafege asu yuden akud adzo asu grek
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_026.wav,a babedzan taman hm yen nloe waan na tege ai abui mimfefeg e kan mod ayen tege ai abui mingungul tege ai mintomba
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_024.wav,dzam da asu e ba bengaloeban to yuden to grek kristus ane ngul zamba ai feg zamba
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_025.wav,amu akud zamba lalod feg bod ntegan woe olodo ngul bod
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_028.wav,zamba atobo e dzi ene dzedzaa ai e dzi babyandi a si mu e dzi balan ki a tan asu ye na asole e dzi balan a tan
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_027.wav,dzam da ndo zamba angatob akud ya sindon asu ye na asama mimfefeg atobo e dzi ene ateg a sindon asu ye na asama mingungul
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_029.wav,asu ye na te mod zin abo engun a mis me zamba
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_030.wav,nnye abo na mitobo abe kristus yesus ya ane bia e feg yaso abe zamba mekyebe ai mfuban ai akode
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_001/1CO_001_031.wav,asu ye na akyae ane ntilan na e mod abo engun aboo engun a be nti
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_002/1CO_002_001.wav,a babedzan eyon mengaso abe mina mandzeki mina son yedan ndimba zamba ai abui aben bibug nge feg
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_002/1CO_002_002.wav,amu mengayili na mayi ki yem dzom efe abe mina he e yesus kristus bengabomolo a klos
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_002/1CO_002_004.wav,ndo nkobo wama ai foe dzama bingabe ki minkobo beyem bingabe nkobo nsisim ai ngul
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_002/1CO_002_003.wav,mfag wama mengaso abe mina metoa ntegan mekono won menyaman fe abui
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_002/1CO_002_006.wav,biakobo mam me feg ai e bod bewolobo ya se ki feg ya e sindon nyi nge ki e nyi e bod be ndon badzoe e sindon nyi
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_002/1CO_002_005.wav,asu ye na te nyebe waan wabo a feg bod obo he ngul zamba
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_002/1CO_002_007.wav,dzam da biakobo feg zamba ya engabe esolo a ndimba e nyi ya zamba angatele ya okoba asu duma daan
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_002/1CO_002_008.wav,e nyi ya to mod zin mbog ya bedzoe be e si nyi andzeki yem amu nge beyem nge bandzeki bome nti a klos
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_002/1CO_002_009.wav,dzam da he mbol ane ntilan na e mam ya dis andzeki yen alo te wog e dzi yabe ki lod mod a nlo e bi ya zamba angakomezan e ba badin nye
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_002/1CO_002_010.wav,mina hm zamba angakuli mo abe nsisim amu nsisim wason dzom ese to mam me ndimba me zamba
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_002/1CO_002_011.wav,za modo ayem mam me mod se na nsisim mod one nye a nyol nala ngo hm fe mod ayeyem mam me zamba he nsisim zamba ngo wayem mo
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_002/1CO_002_012.wav,mfag waan biandzeki non nsisim sindon nsisim waso abe zamba ngo bingabi asu ye na biyem e mam ya zamba ave bia a akab
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_002/1CO_002_013.wav,mam mete mmo fe biakobo se hm ki ai e bibug ya feg mod yayegele biakobo mo he ai e bibug nsisim wayegele bitimini e bod bawoge ai nsisim mam me nsisim
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_002/1CO_002_014.wav,e mod ane mod si anon ki mam me nsisim zamba amu mene mam me akud asu die ndo fe aseki mo dzam yem amu bawog mo he a nsisim
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_002/1CO_002_015.wav,e mod ya nsisim awog mese tege ai e mod ane nye dzam tsas
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_002/1CO_002_016.wav,amu za angayem ya ntsogan nti na ave nye melebega mfag waan bibele ntsogan kristus
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_003/1CO_003_001.wav,a babedzan mfag wama mengabe ki dzam kobo ai mina ane e bod ya nsisim makobo ai mina ane bod be si ane ban bongo abe kristus
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_003/1CO_003_002.wav,menganyuu mina menyan se ki e bidi biwon ya amu mina mingabe ki mibele ngul te to etoa dzi ben miabele ki ngul te
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_003/1CO_003_003.wav,amu mingene bod be nyol amu ntye ya zuna ai esunu minkon bingene a zan dzaan nga mingene bod be nyol miwulugu fe he ane bod batsog
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_003/1CO_003_004.wav,amu eyon mod adzo na ma mawoge ai paulus e nyo mbog nye na ma mene ai apollos miase he bod be nyol a
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_003/1CO_003_005.wav,apollos nnye ane dze paulus ki nnye ane dze bene bebobisye ya bengave mina nyebe ane mod akyae ya nti angave nye
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_003/1CO_003_008.wav,e mod abe ai e nyo awodan bene dzom dzia dzam da mod ose ya abe bo ayi bi maan moe akyae angasye
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_003/1CO_003_006.wav,ma mengabe apollos awodan mendim dzam da zamba nnye angabo na enan
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_003/1CO_003_007.wav,antoa hm na e mod abe aseki dzom zin to e nyo awodan he e zamba ya abo na enan nnye ane mfan
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_003/1CO_003_009.wav,amu biasye fufulu ai zamba mina mine afub zamba ai ndazamba
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_003/1CO_003_010.wav,ai e maa zamba bengave ma ndo mengamana fag bibe metari melon ane mfefeg nlonomenda mod mfe angazu ke ai melon osu mod ose abo okala akyae abo melon
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_003/1CO_003_011.wav,mod aseki dzam tele tin mfim zin fe alodo ane e nyi entele ya ndzo hm ene yesus kristus
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_003/1CO_003_012.wav,nge mod zin abo melon a tin mfim mvod nge silba ai mekog me moni ai bile ai zam nge bisie
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_003/1CO_003_013.wav,esye mod ose yayi kui a ngeen amu biayi kuban a ndoan amu e kan ese esye mod ene ndoan yayi dzo fial
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_003/1CO_003_014.wav,nge esye zin ya mod abo melon elanan etoa ayi bele maan
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_003/1CO_003_015.wav,nge esye mod emana dig ayi dzee dzam da nye emen akodeban ane e mod ahe lod a ndoan a zan
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_003/1CO_003_016.wav,nga miayem na mine tempel zamba ai na nsisim zamba otoa abe mina
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_003/1CO_003_017.wav,nge mod ahe ndaman tempel zamba zamba nye andaman fe nye amu tempel zamba ane mfufub mina hm mine nye
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_003/1CO_003_018.wav,te mod zin adug emen nge mod zin atsog na ane feg abe mina hala e sindon nyi aboo akud asu ye na azu bo mfefeg
/content/drive/MyDrive/Clean_filtered_Ewo/1CO/1CO_003/1CO_003_021.wav,ndo hm te mod abo engun a bod amu dzom ese yawoge ai mina
